state,city,variable,year,value
AB,Calgary,Current Assets,2010,4776081.0
AB,Calgary,Current Assets,2011,4831572.0
AB,Calgary,Current Assets,2012,5407521.0
AB,Calgary,Current Assets,2013,6475739.0
AB,Calgary,Current Assets,2014,6646555.0
AB,Calgary,Current Assets,2015,7054676.0
AB,Calgary,Current Assets,2016,7301551.0
AB,Calgary,Current Assets,2017,7055340.0
AB,Calgary,Current Assets,2018,7289242.0
AB,Calgary,Current Assets,2019,7579593.0
AB,Calgary,Current Assets,2020,8226621.0
AB,Calgary,Current Assets,2021,9423987.0
AB,Calgary,Current Assets,2022,10401718.0
AB,Calgary,Current Assets,2023,10621576.0
AB,Calgary,Current Assets,2024,11587308.0
AB,Calgary,Capital Assets,2010,11193852.0
AB,Calgary,Capital Assets,2011,12233230.0
AB,Calgary,Capital Assets,2012,13037917.0
AB,Calgary,Capital Assets,2013,13692365.0
AB,Calgary,Capital Assets,2014,14372340.0
AB,Calgary,Capital Assets,2015,15052646.0
AB,Calgary,Capital Assets,2016,16097912.0
AB,Calgary,Capital Assets,2017,16980420.0
AB,Calgary,Capital Assets,2018,17776479.0
AB,Calgary,Capital Assets,2019,18568296.0
AB,Calgary,Capital Assets,2020,19027286.0
AB,Calgary,Capital Assets,2021,19379126.0
AB,Calgary,Capital Assets,2022,19857891.0
AB,Calgary,Capital Assets,2023,20441970.0
AB,Calgary,Capital Assets,2024,21615810.0
AB,Calgary,Total Assets,2010,15969933.0
AB,Calgary,Total Assets,2011,17064802.0
AB,Calgary,Total Assets,2012,18445438.0
AB,Calgary,Total Assets,2013,20168104.0
AB,Calgary,Total Assets,2014,21018895.0
AB,Calgary,Total Assets,2015,22107322.0
AB,Calgary,Total Assets,2016,23399463.0
AB,Calgary,Total Assets,2017,24035760.0
AB,Calgary,Total Assets,2018,25065721.0
AB,Calgary,Total Assets,2019,26147889.0
AB,Calgary,Total Assets,2020,27253907.0
AB,Calgary,Total Assets,2021,28803113.0
AB,Calgary,Total Assets,2022,30259609.0
AB,Calgary,Total Assets,2023,31063546.0
AB,Calgary,Total Assets,2024,33203118.0
AB,Calgary,Liabilities,2010,4708417.0
AB,Calgary,Liabilities,2011,5009322.0
AB,Calgary,Liabilities,2012,5267439.0
AB,Calgary,Liabilities,2013,5903530.0
AB,Calgary,Liabilities,2014,5933954.0
AB,Calgary,Liabilities,2015,5810378.0
AB,Calgary,Liabilities,2016,5929908.0
AB,Calgary,Liabilities,2017,5361302.0
AB,Calgary,Liabilities,2018,5370638.0
AB,Calgary,Liabilities,2019,5122483.0
AB,Calgary,Liabilities,2020,5436376.0
AB,Calgary,Liabilities,2021,5874125.0
AB,Calgary,Liabilities,2022,6118793.0
AB,Calgary,Liabilities,2023,6098275.0
AB,Calgary,Liabilities,2024,6690176.0
AB,Calgary,Total liabilities,2010,4708417.0
AB,Calgary,Total liabilities,2011,5009322.0
AB,Calgary,Total liabilities,2012,5267439.0
AB,Calgary,Total liabilities,2013,5903530.0
AB,Calgary,Total liabilities,2014,5933954.0
AB,Calgary,Total liabilities,2015,5810378.0
AB,Calgary,Total liabilities,2016,5929908.0
AB,Calgary,Total liabilities,2017,5361302.0
AB,Calgary,Total liabilities,2018,5370638.0
AB,Calgary,Total liabilities,2019,5122483.0
AB,Calgary,Total liabilities,2020,5436376.0
AB,Calgary,Total liabilities,2021,5874125.0
AB,Calgary,Total liabilities,2022,6118793.0
AB,Calgary,Total liabilities,2023,6098275.0
AB,Calgary,Total liabilities,2024,6690176.0
AB,Calgary,Net position,2010,11261516.0
AB,Calgary,Net position,2011,12055480.0
AB,Calgary,Net position,2012,13177999.0
AB,Calgary,Net position,2013,14264574.0
AB,Calgary,Net position,2014,15084941.0
AB,Calgary,Net position,2015,16296944.0
AB,Calgary,Net position,2016,17469555.0
AB,Calgary,Net position,2017,18674458.0
AB,Calgary,Net position,2018,19695083.0
AB,Calgary,Net position,2019,21025406.0
AB,Calgary,Net position,2020,21817531.0
AB,Calgary,Net position,2021,22928988.0
AB,Calgary,Net position,2022,24140816.0
AB,Calgary,Net position,2023,24965271.0
AB,Calgary,Net position,2024,26512942.0
AB,Calgary,Revenues (total),2010,2808892.0
AB,Calgary,Revenues (total),2011,2966747.0
AB,Calgary,Revenues (total),2012,3223622.0
AB,Calgary,Revenues (total),2013,3703612.0
AB,Calgary,Revenues (total),2014,3651148.0
AB,Calgary,Revenues (total),2015,3706313.0
AB,Calgary,Revenues (total),2016,3756067.0
AB,Calgary,Revenues (total),2017,3756067.0
AB,Calgary,Revenues (total),2018,3872574.0
AB,Calgary,Revenues (total),2019,4171634.0
AB,Calgary,Revenues (total),2020,4180830.0
AB,Calgary,Revenues (total),2021,4248825.0
AB,Calgary,Revenues (total),2022,4704706.0
AB,Calgary,Revenues (total),2023,4606195.0
AB,Calgary,Revenues (total),2024,4915027.0
AB,Calgary,Total Revenues,2010,2808892.0
AB,Calgary,Total Revenues,2011,2966747.0
AB,Calgary,Total Revenues,2012,3223622.0
AB,Calgary,Total Revenues,2013,3703612.0
AB,Calgary,Total Revenues,2014,3651148.0
AB,Calgary,Total Revenues,2015,3706313.0
